id_evaluacion,agente,pregunta,respuesta,evaluacion_calidad,tiene_referencias,basura_detectada,evaluacion_general,notas
S1-001,S1,¿Cómo se hace una Solped?,,,,,pending,
S1-002,S1,¿Dónde busco los códigos de materiales?,,,,,pending,
S1-003,S1,¿Cómo hago una pedido de convenio?,,,,,pending,
S1-004,S1,¿Cuándo debo enviar el informe de consumo de petróleo?,,,,,pending,
S1-005,S1,¿Cómo genero el informe de consumo de petróleo?,,,,,pending,
S1-006,S1,¿Para qué genero el informe de consumo de petróleo?,,,,,pending,
S1-007,S1,¿Dónde busco los códigos de los diferentes tipos de servicios?,,,,,pending,
S1-008,S1,¿Dónde busco los códigos de los diferentes tipos de equipo?,,,,,pending,
S1-009,S1,¿Cuál es el calendario de inventarios para el PEP?,,,,,pending,
S1-010,S1,¿Cómo genero una guía de despacho?,,,,,pending,
S1-011,S1,¿Cómo hago una solicitud de transporte?,,,,,pending,
S1-012,S1,¿Qué es una ST?,,,,,pending,
S1-013,S1,¿Qué es una SIM?,,,,,pending,
S1-014,S1,¿Dónde busco la información de un PEP Centro y almacén?,,,,,pending,
S1-015,S1,¿Cuál es código de servicio de catering?,,,,,pending,
S1-016,S1,¿Cuál es el código para solicitar un rotomartillo?,,,,,pending,
S1-017,S1,¿Cómo solicito los implementos para activar bodega fácil?,,,,,pending,
S1-018,S1,¿Cómo solicito los equipos para activar bodega fácil?,,,,,pending,
S1-019,S1,¿Cómo solicito los insumos para activar bodega fácil?,,,,,pending,
S1-020,S1,¿Cómo actualizo las cantidades en bodega fácil si no me calza el físico con sistema?,,,,,pending,
S1-021,S1,¿Cómo solicito el arriendo de insumos tecnológicos?,,,,,pending,
S1-022,S1,¿Cómo solicito una cuenta PBI para maestro de materiales?,,,,,pending,
S1-023,S1,¿Cómo solicito una capacitación de bodega fácil (BF)?,,,,,pending,
S1-024,S1,¿Cómo puedo generar una solicitud de materiales?,,,,,pending,
S1-025,S1,¿Cómo puedo generar una compra por convenio?,,,,,pending,
S1-026,S1,¿Cuál es el formato de solicitud interna de materiales (SIM)?,,,,,pending,
S1-027,S1,¿Cómo se genera una regularización de materiales?,,,,,pending,
S1-028,S1,¿Cómo se realiza la solicitud de servicios?,,,,,pending,
S1-029,S1,¿Cómo se realiza una HES en relación a un estado de pago?,,,,,pending,
S1-030,S1,¿Cómo borro las posiciones de una SolPed?,,,,,pending,
S1-031,S1,¿Cómo controlo la entrega de EPP en obra?,,,,,pending,
S1-032,S1,¿Cómo solicito la creación de Proveedores?,,,,,pending,
S1-033,S1,¿Qué requisitos hay para crear proveedores?,,,,,pending,
S1-034,S1,¿A quién se le debe enviar la posible acreditación de un proveedor?,,,,,pending,
S1-035,S1,¿Cómo solicito la creación de un código de material?,,,,,pending,
S1-036,S1,¿Cómo puedo revisar los códigos de servicios vigentes para las ZSER?,,,,,pending,
S1-037,S1,¿Cómo ingreso una guía de despacho (GD) por SAP o PDA de bodega fácil?,,,,,pending,
S1-038,S1,¿Cómo ingreso un vale de Consumo a SAP o una reserva por bodega fácil?,,,,,pending,
S1-039,S1,¿Cómo reviso y soluciono facturas del ZMONITOR?,,,,,pending,
S1-040,S1,¿Cuál es la TRX para revisar las facturas?,,,,,pending,
S1-041,S1,¿Cómo solicito el arriendo o compra de un equipo?,,,,,pending,
S1-042,S1,¿Cómo ingreso un equipo de tercero a sistema SAP?,,,,,pending,
S1-043,S1,¿Cómo puedo ver mi inventario de equipos?,,,,,pending,
S1-044,S1,¿Cómo puedo sacar de mi inventario de equipos los que ya se han devuelto al proveedor de tercero?,,,,,pending,
S1-045,S1,¿Cómo se genera una regularización de equipos?,,,,,pending,
S1-046,S1,¿Cómo solicito el arriendo de un camión SUBCARGO?,,,,,pending,
S1-047,S1,¿Cómo solicito mi usuario LE-TRA?,,,,,pending,
S1-048,S1,¿Cómo solicito un transporte SAMEX?,,,,,pending,
S1-049,S1,¿Cómo solicito una cuenta SAMEX?,,,,,pending,
S1-050,S1,¿Cómo descargo un reporte de consumo de combustible?,,,,,pending,
S1-051,S1,¿Cómo anulo un consumo de petróleo?,,,,,pending,
S1-052,S1,¿Cómo hago para cargar el petróleo al generador que queda en el edificio?,,,,,pending,
S1-053,S1,¿Cómo puedo generar una guía de despacho?,,,,,pending,
S1-054,S1,¿Existe algún instructivo para la emisión de guías de despacho?,,,,,pending,
S1-055,S1,¿A quién se debe solicitar instructivo para emitir guías de despacho internas?,,,,,pending,
S1-056,S1,¿Cómo puedo descargar un inventario de sistema SAP?,,,,,pending,
S1-057,S1,¿Cómo realizo un inventario de materiales?,,,,,pending,
S1-058,S1,¿Cómo borro una posición del inventario en SAP?,,,,,pending,
S1-059,S1,¿Cómo se realiza un traspaso de bodega?,,,,,pending,
S1-060,S1,¿Debo copiar a alguien cuando genero un traspaso de bodega?,,,,,pending,
S1-061,S1,¿Cómo se puede hacer un traspaso de materiales entre obras?,,,,,pending,
S1-062,S1,¿Cómo puedo obtener una mejor evaluación como jefatura de bodega?,,,,,pending,
S1-063,S1,¿Cómo encuentro los procedimientos actualizados de SSOMA?,,,,,pending,
S1-064,S1,¿Cómo encuentro un Procedimiento Instructivo o Paso a Paso?,,,,,pending,
S1-065,S1,¿Cómo se si es la última versión de un Procedimiento Instructivo o Paso a Paso?,,,,,pending,
S1-066,S1,¿Cómo encuentro un registro de gestión bodegas?,,,,,pending,
S1-067,S1,¿Cómo se si es la última versión de un registro de gestión bodegas?,,,,,pending,
M1-001,M1,¿Me puedes decir la diferencia entre un Loteo DFL2 y un Loteo con Construcción Simultánea?,,,,,pending,
M1-002,M1,¿Cuál es la diferencia entre condominio tipo a y tipo b?,,,,,pending,
M1-003,M1,¿Qué requisitos se necesitan para aprobar un permiso de edificios?,,,,,pending,
M1-004,M1,¿Qué documentos se deben presentar para los trámites de loteo?,,,,,pending,
M1-005,M1,¿Es posible aprobar una fusión de terrenos que no se encuentran urbanizados?,,,,,pending,
M1-006,M1,¿Es posible aprobar un condominio tipo B dentro de un permiso de edificación acogido a conjunto armónico?,,,,,pending,
M1-007,M1,¿Es posible otorgar un permiso de edificación a un lote no urbanizado dentro de un loteo sin construcción simultánea?,,,,,pending,
M1-008,M1,¿Es posible otorgar un CIP a terrenos que no se encuentran con autorización de enajenar?,,,,,pending,
M1-009,M1,¿Puede una vivienda en un condominio tipo B tener una altura mayor si se trata de una zona con uso de suelo mixto y una rasante permisiva?,,,,,pending,
M1-010,M1,¿Qué jurisprudencia o dictámenes del MINVU existen sobre la exigencia de estacionamientos en proyectos de vivienda social?,,,,,pending,
M1-011,M1,En una fusión de lotes en zona ZH4 del PRC de Vitacura ¿puedo mantener derechos adquiridos?,,,,,pending,
M1-012,M1,¿Cuáles son las diferencias normativas entre un Loteo con Construcción Simultánea y un Proyecto Inmobiliario Art 6.1.8?,,,,,pending,
M1-013,M1,¿Qué requisitos diferenciados hay entre un permiso de urbanización en zona urbana versus extensión urbana?,,,,,pending,
M1-014,M1,¿Qué documentos necesito para solicitar permiso de edificación en terreno afecto a utilidad pública?,,,,,pending,
M1-015,M1,¿Qué requisitos deben incluirse en un informe de mitigación de impacto vial para un centro comercial?,,,,,pending,
M1-016,M1,¿Qué pasa si el PRC permite un uso de suelo y el Plan Metropolitano lo restringe?,,,,,pending,
M1-017,M1,¿Se puede edificar sobre una franja de riesgo declarada por el MINVU si se presenta un estudio geotécnico?,,,,,pending,
M1-018,M1,¿Cómo se calcula la densidad bruta en un proyecto que abarca varios roles con diferentes normas urbanísticas?,,,,,pending,
M1-019,M1,¿Cuál es el procedimiento para regularizar una construcción antigua en zona no edificable pero consolidada?,,,,,pending,

